### Footprint positions - created on Sun Apr 30 22:38:36 2023 ###
### Printed by KiCad version 7.0.1
## Unit = mm, Angle = deg.
## Side : top
Designator    ,      Package                                     ,     Mid X ,     Mid Y ,  Layer,     Rotation
R43      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  65.3025 , -67.4000 ,  top, 90.0000 
R44      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  64.4525 , -62.2000 ,  top, 90.0000 
R45      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  60.8350 , -51.5000 ,  top,  0.0000 
R46      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  60.0850 , -49.5000 ,  top,-90.0000 
R47      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  64.5500 , -69.6000 ,  top,180.0000 
R48      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  58.7150 , -53.6000 ,  top,-90.0000 
R49      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  61.5500 , -69.6000 ,  top,180.0000 
R50      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  60.8325 , -53.0000 ,  top,180.0000 
R51      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  57.9650 , -48.8500 ,  top,  0.0000 
R52      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  57.2150 , -53.6000 ,  top, 90.0000 
R53      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  60.8025 , -67.4000 ,  top, 90.0000 
R54      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  46.6000 , -63.8525 ,  top,180.0000 
R55      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  56.4362 , -70.8500 ,  top,  0.0000 
R56      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  51.6000 , -63.1025 ,  top,-90.0000 
R57      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  54.2362 , -67.2000 ,  top, 90.0000 
R58      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  46.6000 , -62.3525 ,  top,  0.0000 
R59      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  56.4362 , -69.3500 ,  top,180.0000 
R60      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  50.1950 , -60.2975 ,  top,-90.0000 
R61      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  55.7862 , -67.1525 ,  top,-90.0000 
R62      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  48.1975 , -59.4975 ,  top,  0.0000 
R63      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  57.7188 , -66.4025 ,  top,180.0000 
R64      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  53.6525 , -62.4000 ,  top,180.0000 
R65      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  48.0362 , -69.6000 ,  top,180.0000 
R66      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  53.6525 , -59.5000 ,  top,180.0000 
R67      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  48.1013 , -66.4000 ,  top,180.0000 
R68      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  56.4025 , -63.9000 ,  top,180.0000 
R69      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  52.7862 , -67.1675 ,  top, 90.0000 
R70      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  53.6525 , -60.9000 ,  top,  0.0000 
R71      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  48.0362 , -68.1000 ,  top,  0.0000 
R72      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  61.9760 , -34.5440 ,  top,-90.0000 
R73      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  60.4520 , -34.5440 ,  top,-90.0000 
R74      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  79.8000 , -50.1000 ,  top, 90.0000 
R75      ,      R_0402_1005Metric_Pad0.72x0.64mm_HandSolder ,  81.2000 , -50.1000 ,  top, 90.0000 
## End
